Building Name (1),樓宇名稱 (一),Building Name (2),樓宇名稱 (二),Building Name (3),樓宇名稱 (三),Address (1),樓宇地址(一),Address (2),樓宇地址(二),Address (3),樓宇地址(三),"Year of Completion
落成年份","Owners' Corporation
業主立案法團",Remark,備註
A. Sun Plaza,愛善中心,,,,,"3 San Hop Lane,
Tuen Mun","屯門
新合里3號",,,,,1997,P,,
"A.D. & F.D. of Pok Oi Hospital
Mrs. Cheng Yam On
Millennium School","博愛醫院歷屆總理聯誼會
鄭任安夫人千禧小學",,,,,"111 So Kwun Wat Rd.,
Tuen Mun","屯門
掃管笏路111號",,,,,-,,,
Abiding Kindergarten,遵道幼稚園,,,,,"DD 115 NPWHL 239 238
& Lot 102 A1,
1st Lane Nam Pin Wai,
Shap Pat Heung, Yuen Long","元朗十八鄉南邊圍
第一巷丈量約份第115約
南邊圍屋宇地段第239
238號及地段102 A1",,,,,-,,,
Acacia Villa,,,,,,"60 Cheung Sha Sheung
Tsuen, Lantau Island","大嶼山
長沙上村60號",,,,,1997,,,
Advanced Technology Centre,晉科中心,,,,,"2 Choi Fat St.,
Sheung Shui","上水
彩發街2號",,,,,1995,,,
Aegean Coast,愛琴海岸,,,,,"2 Kwun Tsing Rd.,
Tuen Mun","屯門
管青路2號",,,,,2002,,,
Aegean Villa,愛琴居,,,,,"5 Silver Cape Rd.,
Silverstrand, Sai Kung","西貢銀線灣
銀岬路5號",,,,,1995,,,
AFCD Ta Kwu Ling Operation Centre,"漁農自然護理署
打鼓嶺行動中心",,,,,"185 Ping Che Rd.,
Ta Kwu Ling","打鼓嶺
坪輋路185號",,,,,-,,,
Affluence Garden,澤豐花園,,,,,"33 Tsing Chung Koon Rd.,
Tuen Mun","屯門
青松觀路33號",,,,,1989,,See Appendix IV,見附錄IV
Affluence Garden,澤豐花園,"Affluence Garden
Commercial Complex",澤豐花園街市商場,,,,,,,,,,,See Appendix IV,見附錄IV
