Building Name (1),樓宇名稱 (一),Building Name (2),樓宇名稱 (二),Building Name (3),樓宇名稱 (三),Address (1),樓宇地址(一),Address (2),樓宇地址(二),Address (3),樓宇地址(三),"Year of Completion
落成年份","Owners' Corporation
業主立案法團",Remark,備註
A Hotel,,,,,,123 Tung Choi St.,通菜街123號,,,,,2013,,,
A. Kun Lock Building,均樂大廈,,,,,178 Nathan Rd.,彌敦道178號,,,,,1966,,,
A. Lei Wah Building,利華樓,,,,,8 Ashley Rd.,亞士厘道8號,,,,,1971,P,,
A3 Hotel,,,,,,129 Temple St.,廟街129號,,,,,2013,,,
ABBA Commercial Building,利群商業大廈,,,,,223 Aberdeen Main Rd.,香港仔大道223號,,,,,1983,P,,
ABBA House,福群大樓,,,,,,,,,,,1983,,,
ABBA House,福群大樓,Block A,A座,,,,,225 Aberdeen Main Rd.,香港仔大道225號,,,,,,
ABBA House,福群大樓,Block B,B座,,,,,227 Aberdeen Main Rd.,香港仔大道227號,,,,,,
ABBA Shopping Mall,利群商場,,,,,223 Aberdeen Main Rd.,香港仔大道223號,,,,,1983,,,
Abdoolally House,鴨都喇利大廈,,,,,20 Stanley St.,士丹利街20號,,,,,1966,,,
Aberdeen Baptist Church,香港仔浸信會堂,,,,,11 Aberdeen Reservoir Rd.,香港仔水塘道11號,,,,,-,,,
"Aberdeen Baptist Church
Pak Kwong Kindergarten",香港仔浸信會白光幼稚園,,,,,11 Aberdeen Reservoir Rd.,香港仔水塘道11號,,,,,-,,,
"Aberdeen Baptist
Lui Ming Choi College",香港仔浸信會呂明才書院,,,,,"18 Lei Tung Estate Rd.,
Lei Tung Estate","利東邨
利東邨道18號",,,,,-,,,
Aberdeen Boat Club,香港仔遊艇會,,,,,20 Shum Wan Rd.,深灣道20號,,,,,1980,,,
Aberdeen Centre,香港仔中心,,,,,,,,,,,,,,
Aberdeen Centre,香港仔中心,Hoi Chu Court,海珠閣,,,,,2 Nam Ning St.,南寧街2號,,,1979,P,,
Aberdeen Centre,香港仔中心,Hoi Chun Court,海珍閣,,,,,4 Nam Ning St.,南寧街4號,,,1979,P,,
Aberdeen Centre,香港仔中心,Hoi Lung Court,海龍閣,,,,,6 Nam Ning St.,南寧街6號,,,1979,P,,
Aberdeen Centre,香港仔中心,Hoi Shan Court,海珊閣,,,,,16 Nam Ning St.,南寧街16號,,,1979,P,,
Aberdeen Centre,香港仔中心,Hoi Tin Court,海天閣,,,,,8 Nam Ning St.,南寧街8號,,,1979,P,,
